result,cleaned
1,ทั้งวันก็ยังได้
1,จ้าวรวยไปเล่นตัวอื่นปล่อยเม่าเฝ้าดอยยาวเลย จ้างรวยคนเดียว
1,"ผมได้รับ SMS จาก Citi ให้ส่งเอกสารยืนยันรายได้ บอกว่าเพื่อรักษาวงเงิน
คือยอมรับว่า วงเงินผมมันบวกเพิ่มกว่ารายได้ครับ ตอนนี้ เพราะซิตี้เดิม ผมมีวง แสน แล้วออลเวย์สแตนดาร์ด ผมก็มีวง แสน
พอมารวมกัน วงเงินเปลี่ยนเป็น แสน 

ทีนี้ผมได้ SMS ให้ส่งเอกสาร รอบแล้ว ก็ยังไม่ได้ส่ง
ไม่ทราบว่าถ้าไม่ส่ง เราจะโดนลดวงเงินหรือเปล่าครับ
หรือถ้าส่ง รายได้เรายังเท่าเดิม ก็จะโดนลดวงเงินด้วยหรือเปล่าครับ

แล้วถ้าโดนลดวงเงิน คือบัตรก็จะถูกลด แล้วเราต้องจ่ายทั้งหมด ให้เหลือในวงเงินเลยหรือเปล่าครับ
หรือว่าสามารถผ่อนชำระเข้าไปได้"
1,ผมได้ sms มาเป็นสิบครั้งแล้ว เอาของขวัญมาล่อใจด้วย ไม่เคยสนใจ ถ้าอยากจะลดวงเงินก็ลดไป แต่ผมจ่าย ตลอด
1,อันนี้คือรวมกับออลเวย์ แล้วโดนลดใช่มั้ยครับ โดนลดเยอะหรือเปล่าครับ
-1,ผมได้รับทั้ง SMS กับ Email เลยครับ รับมาเป็นปีแล้ว โดยเอากระเป๋ามาให้เป็นรางวัล เคยส่งไปแล้วหนหนึ่งได้เพิ่มวงเงินและได้ประเป๋ามาจริง แต่คราวนี้ไม่ส่งแล้วเพราะวงเงินที่ได้มันเกินความจำเป็นในการใช้จ่าย แจ้งให้ส่งภายในวันนั้น วันนี้จะหมดเขต ก็ยังส่งมาอีกแถมขยายเวลาต่อ ไม่อยากได้เพิ่มและต่อให้ลดวงเงินก็ไม่เป็นปัญหา ปีนี้ต้องใช้ถึง  ถึงจะไม่เสียค่าธรรมเนียม ซึ่งดูแล้วไม่ถึงแน่นอน กะว่าถ้ามีแจ้งมาเมื่อไรจะโทรไปขอยกเว้น ถ้าไม่ได้จริงก็คงต้องยกเลิก
-1,ลดครับ
1,"คือ SMS ที่ผมได้รับ นี่คือไม่ใช่ขอเอกสารเพื่อทบทวน เพื่อเพิ่มวงเงินนะครับ
SMS ระบุชัดเจนเลย ว่าเฉพาะลูกค้าที่โอนมาจากออลเวย์ แล้วถ้าต้องการจะให้คงวงเงินเดิมไว้ที่รวมกัน"
1,รัฐบาลมีแผนลงทุน กลุ่มปิโตรเลียม รวม แสนล้านบาท
-1,ไปส่ะทีเหอะ
1,ส่งสัย ขึ้นยานแม่ ส่งเข้าอู่เป็นแน่แท้
1,เราสามารถกู้เงินซื้อที่ดินเปล่า ได้หรือเปล่าครับ และ สามารถขอสินเชื่อได้ที่ แบงค์ไหน
1,เคยถาม ธกรุงเทพมีสินเชื่อแบบนี้ครับ
-1,"กำไรก็เยอะอยู่ pe ก็ต่ำ pb ก็ไม่สูง
ราคาไม่ไปไหนเลย สงสัย"
-1,คนลากไม่ได้ประโยชน์
1,"อ่ะ ขายหมูโชว์เมื่อเช้า 55แต่จ้าวแบ่งเศษมาให้ก็ดีล่ะ



ขอซ่อนไว้ก่อน เด๋วจ้าวทุบไล่อีกตัว"
1,หุ้นเทพๆ จริงๆมันส์ส์ส์โคํด
1,"อ่ะ ขายหมูโชว์เมื่อเช้า 55แต่จ้าวแบ่งเศษมาให้ก็ดีล่ะ



ขอซ่อนไว้ก่อน เด๋วจ้าวทุบไล่อีกตัว
แก้ไขข้อความเมื่อ  กรกฎาคม เวลา 1น"
-1,"ขอดูจำนวนหุ้นเป็นขวัญตาหน่อยครับ
ไม่เอาแค่ เพราะ หุ้น กับ  หุ้น การที่ใจจะนิ่งถือยาวเวลามันบวก อารมณ์จะต่างกันมาก



เพิ่มเติม
ผมเองเข้าใจว่า คงเป็นพอร์ตเก่า ที่เหลือจำนวนหุ้นไม่มาก
แล้วท่านคงปล่อยทิ้งไว้แบบนั้น การที่เอามาโชว์แบบนี้ คืออะไร
ไม่ได้อิจฉาหรือจ้องจับผิดอะไรนะ แต่มันบ่อยเกิน"
-1,"ขอดูจำนวนหุ้นเป็นขวัญตาหน่อยครับ
ไม่เอาแค่ เพราะ หุ้น กับ  หุ้น การที่ใจจะนิ่งถือยาวเวลามันบวก อารมณ์จะต่างกันมาก



เพิ่มเติม
ผมเองเข้าใจว่า คงเป็นพอร์ตเก่า ที่เหลือจำนวนหุ้นไม่มาก
แล้วท่านคงปล่อยทิ้งไว้แบบนั้น การที่เอามาโชว์แบบนี้ คืออะไร
ไม่ได้อิจฉาหรือจ้องจับผิดอะไรนะ แต่มันบ่อยเกิน
แก้ไขข้อความเมื่อ  กรกฎาคม เวลา 1น"
1,"อย่าคิดมาก


ถ้าคิดมาก
พอร์ตที่โชว์ก็มีประโยชน์ได้

บ้างคน  กินแค่สิบเปอร์เซ็นต์แล้วโดดไปตัวใหม่
แต่ตอนลง  ทนถึงลบสามสิบเปอร์เซ็นต์

ตรงนี้สอนอะไร
หุ้นดูดีดี   ได้เป็นเด้ง"
1,รบกวนเชิญคนทำหุ้นตัวนี้มาเป็น MM หุ้นทั้งตลาดได้มั้ย  กราบ
-1,"น่าลุ้น แค่คงรอนานหน่อย เพราะกำไร Qไม่โตมาก
อาจเกิดจากตลาดมีการแข่งขันสูง หรือเศรษฐกิจไม่โต"
1,ทั้งหมด เท่ากับพอร์ตผมตอนนี้เลย แต่ผมมีหุ้นสองตัว
-1,"พอร์ท  นี้  เป็น พอร์เทรด

เหลือเท่านี้แล้ว

ผม  ให้แบบนี้

คือให้ ดู  วามเสี่ยง  

สำหรับ คนเข้าใหม่

และแจก  การบ้าน  ใครจะลอกพอร์ท

ตามได้เลย

ให้เป็นข้อมูล   คนเข้าใหม่

ไว้ตัดสินใจ

หุ้น พวกนี้  ไม่มีต้นทุนแล้ว

เพราะ  n  park  ล้างให้หมด  ตั้งแต่ ปี

25    ไป  ใน วัน  

สค 25

ฉะนั้น ต่อให้  ptt  scc  scb  pttep   เจ๊งไป

ไม่เสียหายเลย  แต่ประเทศนิสิ คงแย่ละ


มารอบ สอง n park     4"
-1,"พอร์   ที่ลง ให้พ่อ

ไแหมด  ตอน  3  ละ  

เอาคืน ไม่ได้เลย"
-1,"และแจก  การบ้าน  ใครจะลอกพอร์ท

ตามได้เลย

ให้เป็นข้อมูล   คนเข้าใหม่

ไว้ตัดสินใจ

หุ้น พวกนี้  ไม่มีต้นทุนแล้ว

เพราะ  n  park  ล้างให้หมด  ตั้งแต่ ปี

25    ไป  ใน วัน  

สค 25

ฉะนั้น ต่อให้  ptt  scc  scb  pttep   เจ๊งไป

ไม่เสียหายเลย  แต่ประเทศนิสิ คงแย่ละ


มารอบ สอง n park     4"
1,"พอดีจะไปดาวน์รถ CBRRR ดาวน์  ส่งงวดละหมื่นโดยประมาณ เงินเดือน 1ด จะจัดไฟแนนท์ผ่านไหมครับ
แก้ไขข้อความเมื่อ  กรกฎาคม เวลา 1น"
1,ถ้าเอาตามปกติทั่วไปของไฟแนนซ์ เงินเดือนต้องเป็น เท่าของค่างวดครับถึงจะผ่าน
-1,คิดว่าไม่ผ่านครับ
1,เก็บซื้อสดไปเลย เดือนละหมื่น อย่าไปกลัว
1,"ขอเสริม

และเมื่อถึงเวลานั้น

เราจะได้ cbr   ที่ออฟชั่นจัดเต็มกว่าโฉมปัจจุบันด้วย ในราคาที่เท่า ๆ กัน

ดีมั้ย

หรือ   เมื่อถึงเวลานั้น  เราสามารถซื้อ cbr    มือ  ได้  คัน  พร้อมเงินที่เหลือสำหรับค่าน้ำมัน  ค่าดูแลรักษาอีกหลายแสน   ดีกว่าไหม
แก้ไขข้อความเมื่อ  กรกฎาคม เวลา  น"
1,"ดูแล้วไฟแนนท์ไม่น่าให้ผ่านครับ
เงินเดือนน้อยไป
แต่ก็อาจจผ่านแบบปริ่มๆ
แต่ห่วงค่าใช้จ่ายอื่นๆดีกว่าครับ
เหลือเดือนละนี่ไม่ไหวแน่นอน

แต่แนะนำว่าถ้ามีความสามารถผ่อนได้เดือนละสู้ทนเก็บเดือนละหมื่นไปสักพักมาเพิ่มเงินดาวน์ให้ได้สัก จะสบายกว่าเยอะครับ
แก้ไขข้อความเมื่อ  กรกฎาคม เวลา  น"
1,สวัสดีครับ เรียนสอบถามครับ ต้องการซื้อบ้านจากญาติ อยากทราบว่าระหว่างกู้ซื้อบ้านโดยตรง กับ โอนบ้านมาเป็นชื่อเราแล้วค่อยจำนอง แตกต่างกันอย่างไรบ้างครับ
1,ต่างกันที่ทรัพย์หลักประกันครับว่าใช้อะไรค้ำประกัน ถ้าไม่มีทรัพย์มาค้ำก็เอาบ้านที่ซื้อเป็นทรัพย์หลักประกัน หรือจำนองนั่นเองครับ แต่ถ้ามีเช่นที่ดินก็เอาที่ดินค้ำประกัน เอาเงินไปซื้อบ้าน ที่ดินก็ติดจำนองครับ
-1,เป็นงัยละ ขายกระต่าย มาซื้อเต่า   อืมผมเพิ่งเข้าใจแล้วว่าทำไมเค้าถึงเรียกว่าเต่าทำไปได้ผมนี่แหละ55ศร้าแพร๊บบบบ
-1,"อืม มันก็คาดเดายากนะ งบออกมาแบบนี้ ไปได้ ทางเลย
เพียงแต่ราคามันลงมาสะท้อนงบที่โตน้อยไปก่อนหน้าแล้ว
เมื่อเช้ามันก็แพนิค Sell กันเกินไป
ผมกะไว้แล้วว่าต้องมีแพนิคกันแน่ เลยชิงตัดหน้าสิบล้อ"
-1,กะว่างบน่าจะต่ำคาด เลยขายออกจะรอย่อซื้อใหม่   แต่ดันคันมือไปซื้อเต่าก่อนติดดอยเลยครับกะว่าจะซื้อktcกลับก็เลยไม่ได้ซื้อได้แต่นั่งมองส่วนbcp ไม่ขยับแถมยังลงอีกต่างหาก555เซ็งเลยครับ
-1,ใครเค้าซื้อ เต่า ในตอนตลาด bullish
1,ประสบการณ์เลยครับเม่าจริงๆตัวผมไม่น่าไปดูรายการเกี่ยวกับเต่าเลย ฝันไปกะโครงการในอนาคตต้องฝึกปรือกันต่อไปอีกนาน
1,"ทำเพราะตกใจ หรือทำตามแผนที่ตั้งไว้ล่ะ

ถ้าทำตามแผน ก็ถือว่าเป็นวินัยที่ควรแล้ว"
1,"ข้อความยาวหน่อยนะคะ เพื่อให้คำถามและคำตอบละเอียดพอ  พอดีจะออกรถคันแรก อันนี้ยังไม่ได้ถามเซล์เรื่องส่วนลดนะคะ เนื่องจากแพลนเงินพร้อมออกไว้ที่สิ้นเดือนตุลาคมนี้ จะศึกษาไว้ก่อนและจะได้ไม่โดนเซลเอาเปรียบ จากการที่ไล่อ่านพันทิปมา เลยมาปรึกษาผู้รู้หน่อยคะ

คือ โดยทั่วไปแล้ว ส่วนลดมีกี่ประเภทค่ะ การขายรถทั่วไป ไม่แน่ใจว่าศึกษามาถูกไหม แต่ได้ความมาว่า

ส่วนลดเงินสด คือนำส่วนลดไปลดราคารถเลย คำถามคือ ตัวนี้ ทำให้เปอร์เซ็นการดาวน์เราเพิ่มขึ้นไหมค่ะ อย่างรถราคา  ดาวน์13 แล้วถ้าเอายอดรถมาลบส่วนลด เงินดาวน์3 เหมือนเดิม จะทำให้เบี้ยผ่อนถูกลงไหมคะ

ส่วนลดเงินดาวน์ หมายความว่า เอาส่วนลดมาลบกับเงินดาวน์ ออกให้3ถูกไหมค่ะ ตัวนี้มีภาษีอะไรต่างๆนานาๆตามมาไหม

่วนลดนำมาบวกเป็นเงินดาวน์ หัวข้อนี้งงมากเลยค่ะ เค้าเรียกมันว่า ซับดาวน์ใช่ไหม แล้วซับดาว์แบ่งออกมาอีกประเภท คือซับดาวน์มาจิ้น กับซับดาวไฟแนนซ์  คำถามคือ ซับดาวน์มาจิ้นเซล์ทุกคนให้ได้ไหม มีทุกลยไหม แล้วมันจะไม่เอาส่วนลดไปบวกตัวรถ เพื่อเพิ่มยอดจัดไฟแนนซ์ใช่ไหม มีภาษีอะไรตามมาไหม ถ้าซับดาวน์มาจิ้น
อย่างเงินดาวน์1่วนลด 
คำถามสุดท้ายค่ะ ออกรถช่วงเดือน แต่ได้ข่าวว่ารุ่นนี้ตัวใหม่มาปลายๆปี ณ ปัจจุบัน เซลทุกพสท์ส่วนลด าท หากถึงวันนั้นจริง เซลจะต้องการดันตัวเก่าออก ส่วนลดเพิ่มไหม
 เมื่อได้ส่วนรถตามข้อเสนอแล้ว เราลดของแถม เพื่อให้ส่วนลดเพิ่มขึ้น แล้วนำมาลดราคารถหรือซับดาวน์มาจิ้นได้ไหม

ขอบคุณสำหรับขอบตอบล่วงหน้านะคะ ไม่มีความรู้และประสบการณ์ด้านนี้จริงๆ"
1,"อันไหนคุ้ม ต้องลองคำนวณดูครับ

ส่วนเดือน  จะได้ลด หรือไม่ได้รถเลย แนะนำลองคุยกับเซลล์ดูครับ มันปลายสายการผลิต ก็อาจจะไม่ได้รุ่นที่ต้องการเท่านั้นครับ"
1,"ภาษีมันรวม ราคา รถไปแล้ว
ไม่เสียสิ"
1,ตอนนี้สนใจข้อสามมากค่ะ อยากจะเอาส่วนลดมาบอกเงินดาวน์ แต่กลัวว่าจะเกี่ยวข้องกับไฟแนนซ์ เรื่อง เอา่วนลดที่ว่า ไปบวกตัวรถ  เพื่อให้ยอดจัดเพิ่มขึ้น เหมือนเรากู้มาดาวน์เอง
1,"สมมุติว่าได้ส่วนลด ราคารถ  นะครับ ดาวน์ 2ส่วนลดเงินสด  ราคารถอยู่ที่  จ่ายดาวน์
ส่วนลดเงินดาวน์  ราคารถ  จ่ายดาวน์
่วนลดนำมาบวกเป็นเงินดาวน์ คิดว่า น่าจะเอามารวมกับเงินดาวน์  0"
1,"ทำได้
ทำได้
ซับเงินดาวน์ เซลชอบมีวงเงินมาเล่นให้คุณได้เยอะ แถมให้คุณได้เยอะ ดูดีๆนะคับ ไม่แนะนำ
หลักการตลาดความเป็นจริง ต้องลดหรือถูกกว่าตัวใหม่แน่นอน
     ได้อยู่ที่ตกลง
ปล
ได้ใบเสนอราคาจากศูนย์ใดศูนย์หนึ่งแล้ว ให้ลองเทียบราคากับศูนย์อื่นๆด้วย
ดูอัตราดอกเบี้ยด้วย แต่ละลิสซิ่งที่เซลติดต่อด้วย"
1,"ส่วนลดเงินสด  
คือลด จากราคาตัวรถ  
เช่นรถ สน ลดะเหลือ
คุณดาวน์
  ยอดจัดไฟแนนซ์คือบ

หรือ ผ่อน4ี ดอกคุ้มสุด

เรื่องของแถม อยู่ที่การต่อรองนะ"
1,ตอนแรกกะว่าจะทำข้อที่สาม แต่กลัวยอดจัดเพิ่มขึ้น เลยขอความคิดเห็นว่า ข้อีสุดไหมสำหรับคุณ แล้วพอจะมีเซล์ฮอนด้าแนะนำหลังไมค์ไหมคะ
1,มีคับหลังไมค์มาได้เลยคับ  น้องพึ่งซื้อซีวิคตัวใหม่มา ใช้ ดับเบิ้ล สไมล์ ดาวน์  ส่วนลดอัดเต็มเหมือนช่วงต้นปีคับ ซึ่งเทียบ ศูนย์ ศูนย์อื่นไม่สู้คับ
1,เอาส่วนลดเงินสดเท่านั้นเพราะ vat จะลดลง ยอดจัดลดลง
1,"ึ้นกับ ข้อกำหนดของ ไฟแนนซ์เลยครับ แต่ผมคิดว่าจาก 1ไปเป็น 1 คงไม่ทำให้ได้อัตราดอกเบี้ยใหม่ครับ

ูกต้องแล้วครับ ก็จะทำให้เราเสียเงินดาวน์น้อยลง

้าเงินดาวน์ บวก บาท จะไปอยู่ในช่วง  ครับ ซึ่งปรกติแล้ว ดอกเบี้ย 1กับ  มักจะต่างกันครับ

้าบริษัทและเซลล์อยากขาย ส่วนลดก็จะมากขึ้นแน่นอนครับ
แต่เท่าไหร่ไม่ทราบ
และถ้ามีคนอื่นซื้อเพราะยอมรับส่วนลดที่น้อยกว่าจนรถหมด Stock จขกก็คงไม่เหลือรถให้ขอส่วนลดแล้วล่ะครับ


ปล ผมเคยโพสไว้ที่  ครับ
แก้ไขข้อความเมื่อ  กรกฎาคม เวลา 15 น"
1,"ขอบคุณมากค่ะ ก่อนหน้านี้ได้อ่านกระทู้ที่คุณตั้งไว้แล้ว มีประโยชน์อย่างมัน ก็เลยเลือกจะเอาส่วนลดมาเพิ่มเงินดาวน์ เป็นการซับดาวน์แบบไม่มีการเพิ่มยอดจัดถูกไหมคะ

สุดท้ายนี้ แพลนไว้ว่าจะออก สิ้นเดือน ปีนี้ ข่าวลือตัวใหม่จะมา อันนี้ไม่รู้จะจริงไหม กลัวถึงวันนั้น ไม่มีรุ่นเก่าให้เอา มีแต่รุ่นใหม่ เปิดตัว เครื่องแบบใหม่ โมเดลแรก ข่าวลือ คิดว่าจริงไหมคะ

ในความคิดเห็นคุณ สิ้นเดือน จะมีรถให้ดาวน์อยู่ไหม"
1,ขอบคุณสำหรับคำแนะนำค่ะ
1,หมายถึงเอาส่วนลด มาลบราคาเต็มของรถใช่ไหมคะ
1,"ให้เลือกส่วนลดเงินสดเป็นหลักครับ อย่าเอาซับดาว

ซับดาว ข้อดีคือใช้เงินดาวน้อยลง แต่ข้อเสียคือจะเสีย vat เพิ่ม แถมต้องเอาส่วนลดที่ได้มาคิดรวมกับรายได้เพื่อยื่นภาษีเงินได้บุคคลธรรมดาปลายปีอีกรอบ ไม่คุ้มเลย"
1,ใช่ครับลดราคาก่อน vat
1,ใจก็คือ ต้องการเงินดาวน์เยอะกว่าเดิม แพลนดาวน์  เอาส่วนลดมาเพิ่มเป็นเงินดาว ได้สัก 2งี้อะคะ
1,ถ้าเลือกตัวเลือกคำถามคำตอบที่เงินดาวน์เท่าเดิม 3 แล้วเอาตัวรถ ยอดจัดไฟแนนซ์จะลดลงไหมคะ มีภาษีที่ต้องเสียตามมาไหม
-1,คือลองโทรมาหลายวันละ รอนานมาก ไม่เคยรับเลยครับ
1,"สวัสดีค่ะ คุณarmducky

Bualuang  ต้องขออภัยในความไม่สะดวกที่เกิดขึ้นนะคะ และขอน้อมรับข้อเสนอแนะ เพื่อเป็นข้อมูลประกอบการพิจารณาปรับปรุงบริการให้ดียิ่งขึ้นต่อไป ทั้งนี้ ดิฉันขอเป็นอีกหนึ่งช่องทางในการให้บริการ โดยรบกวน คุณarmducky ระบุข้อมุลส่วนตัวเพิ่มเติมทางหลังไมค์ ดังนี้ค่ะ

ชื่อนามสกุล
หมายเลขโทรศัพท์ที่สะดวกในการติดต่อ
เรื่องที่ต้องการติดต่อส่วนบริการบัตร โปรดระบุรายละเอียด
หมายเลขบัตรเครดิต ตัวท้าย

หากต้องการให้ดิฉันดูแล หรือสอบถามข้อมูลใดๆเพิ่มเติม แจ้งได้เลยนะคะ ดิฉันยินดีให้บริการค่ะ"
-1,ไม่มี
1,"หลักล่ะ ล้าน up ทำเลแถวนั้น ถ้าไม่ได้ทำงานแถว ทอ หรือ ย่าน รังสิต ดอนเมือง การที่จะเข้าเมือง เหนื่อย

ปล ผมไม่ได้ซื้อ แต่เคยอยู่แถวนั้น เกือบ ปี"
1,ขอบคุณค่ะ
1,"ผมเคยเข้าไปดูเมื่อ ปีที่แล้ว เพื่อเปรียบเทียบกับ บุราสิริ พหลโยธินสายไหม สุดท้ายเลือกบุราสิริ เพราะแบบบ้านและฟังชั่นต่างๆ ลงตัวกว่า ตอนนั้นเทียบที่ราคา ล้านครับ
ปล ทำงานแถวสวนจตุจักร"
1,"ผมเคยเข้าไปดูโครงการนี้ครับ  ตอนนั้นรู้สึกจะเริ่มที่  ล้าน  เข้าไป ครั้งช่วงกลางวัน คุณเซลพานั่งรถกอล์ฟวนดูแปลงที่ว่าง  คือ ยูนิตไม่เยอะ เงียบสงบดี   ทรงบ้านสวย แต่พื้นที่ค่อนข้างจำกัด หากเทียบกับทางบ้านกระต่าย ที่อยู่ใกล้เคียงกัน  

เข้าไปครั้งแรก แอบเขิล  จนท ผู้ชายใส่ชุดขาว แบบชุดไทย กางร่มแบบร่มพระราชพิธี มารับที่รถ แล้วเรียกเราว่า คุณท่านเชิญตามกระผมมาด้านนี้ครับ เล่นเอาซะไม่กล้าเดินตามเข้า สนง ขายเลย 555"
1,"เมื่อวานห่อ THANI ตอนปิดตลาด ข้ามวัน ตามกราฟ และวอลุ่ม ที่ บาท 
ตั้งขายรอไว้ช่วงแนวต้านได้พอดิบพอดี ล๊อคกำไรเบาๆ อย่างที่ตัวเองถนัด ได้ค่าอาหารเช่นเคยครับ
ถ้ามีตัวไหนน่าสน จะจัดใหม่อีกสักไม้ห่อข้ามอาทิตย์ไปเลย"
1,"ไม้เล็กๆ ครับ เทรดไม่เครียดดี
ถ้าซื้อไม้ใหญ่ๆ แล้วใจมันไม่ค่อยอยุ่กับเนื้อกับตัวเท่าไหร่ 555"
1,ฟอร์มดีไม่มีตกนะครับคุณหม่อม
1,ชาบูๆ
1,ตามให้ทันน๊า กล้าในเวลาที่ต้องกล้า
-1,"เช่นกันครับ สำหรับคนทุนน้อย
Spoil คลิกเพื่อดูข้อความที่ซ่อนไว้
แก้ไขข้อความเมื่อ  กรกฎาคม เวลา  น"
1,เยี่ยมครับ ผมพึ่งกลับมาเทรด ตอนนี้เน้นเอาชัวร์ ตีหัวแล้ววิ่งหนีเข้าบ้านเลยครับ 555
1,ถ้าให้างเลือกในหุ้นัวนี้ ท่านจะเลือกซื้อหุ้นใด
1,ราคาดีที่สุดคือราคาเหมาะสมที่สุดที่จะเข้าซื้อ
1,"หุ้นดี สมมติว่าเป็น BEAUTY เมื่อปีก่อนดีขนาดกองทุนซื้อจนถือหุ้นใหญ่ ในราคาที่ไม่ดีที่สุด

หุ้นปานกลาง สมมติว่าเป็น BEC เมื่อปีนู้นปานกลางค่อนไปทางแย่เลยมั้ง ในราคาที่ดีที่สุด

คิดว่าตัวไหนดีล่ะ

ไม่มีคำตอบง่ายๆ ในทางปฏิบัติร้อก"
1,ราคาดีที่สุดคืออะไร ถูกสุด แพงสุด
1,"ตัวอย่างท่านยกมา มันสุดโต่งไปครับ เเบบนี้กระทู้ผมก็ปิดตายทันที ทั้งที่คำตอบมันกว้างมาก เผื่อจะได้ไอเดียเเนวคิดอื่นๆหลายมุมมอง
แก้ไขข้อความเมื่อ  กรกฎาคม เวลา  น"
1,ซื้อหุ้นที่ยอดเยี่ยมในราคายุติธรรม ดีกว่าซื้อบริษัทที่ดีพอควรในราคาถูกมาก ประโยคนี้ วอเร็น บัฟเฟตต์ เป็นึนพูดเองครับ
1,"เเต่บางครั้งหุ้นยอดเยี่ยมราคามันเเพงไปแล้ว
จะมองหุ้นดีปานกลางในราคามีส่วนลดมากๆ พอได้ไหมครับ"
-1,บ่ายเทเลยรอไปก่อนเพื่อนเลย
1,Tta  ระยะยาว  น่าจะดีกว่า
-1,เกือบดี แต่ไม่ดี เพิ่งตีนดอยเอง ไปซะแล้ว เซ็งเป็ด
-1,แก่มาก
-1,อาม่าเหนื่อย ขอพักแป็ปปป
1,ธรรมดาวันศุกร์ ขายเอาเงินไปเที่ยว ลงมานิดเดียว
1,มันมาสักพักละนะ ไล่ราคามาหรอครับ
1,"รอบนี้จะขึ้นถึงมั๊ยคะ
แก้ไขข้อความเมื่อ  กรกฎาคม เวลา  น"
-1,อาจจะไม่ เพราะอาจต้องปรับพื้นฐานหรือลงทุนกับ G อีกเยอะ
1,"แนวโน้มประมาณเท่าไหร่หรอคะ ติดดอย  บาทอ่ะค่ะ 
จะได้ชิงขายเลย"
1,รออีกสองสามปีถึงแน่นอน
1," ปีเลยหรอคะ อยากขายแล้วอ่ะค่ะ
จะถึง บาทมั๊ยคะ เจ็บน้อยหน่อยก้อยังดี"
1," ถ้ารอได้
 นี่สบายๆ"
-1,"รอดูแถว
แนวต้านใหญ่แรกคิดว่าใช่นะครับ
แล้วรอรับใหม่แถว
ผมทิ้งไปแย้ววันนี้"
1,แต่สัญญาณขายยังไม่มานะครับrsiยังไม่ตัดลงmacdยังเชิดหน้าได้อยู่
1,"ดอยที่  บาทเลยเหรอ ต้องนับถือว่า มีความอดทนสูงมาก
ผมดอย สัปดาห์เดียว ก็ ขายทิ้งแล้ว
อยู่ดอยนานไม่ไหว อากาศ มันหนาว  นอนไม่หลับ"
-1,"ใช่ค่ะ มันหนาวยะเยือกมากเลยค่ะ
หนาวมาหลายปีเลยอ่ะ ถัวจนเลิกถัว"
1,ถ้าคิดว่าทนรอได้ก็รอครับ นานหน่อย ถ้าเป็นผมจะขายครับ แล้วไปลงกับตัวอื่นดีกว่า ตอนแรกๆแค่คืนทุนครับ พวกนี้เน้นไว้เลยครับว่าอย่าขาดทุน กำไรชั่งมันครับ
1,"ราคาทองคำตอนนี้ เหมือนจะขยับขึ้นเรื่อยๆ คิดว่าจะไปได้อีกเยอะ 
ระยะสั้น  ระยะยาว  น่าสนใจที่สุดไหม เทียบกันกับ พันธบัตร ที่ดิน อสังหา 
ใครคิดเห็นอย่างไร ชี้แนะด้วยครับ"
-1,รู้สึกช้าไปไหมครับ
0,แก้ไขข้อความเมื่อ  กรกฎาคม เวลา  น
1,"เก็บมานานหลายปีแล้ว และจะยังคงเก็บต่อไปเรื่อยๆ จนกว่าจะย้ายกลับไปใช้ชีวิตอยู่ในเมืองไทย
ก็จะขายทองทั้งหมดที่มีแล้วเอาเงินไปซื้อบ้านอยู่อาศัยในบั้นปลายชีวิตอยากจ่ายเงินสด ครั้งเดียวจบ ไม่ต้องกู้ธนาคาร"
1,ขายเลี้ยว
1,next station 7ปลายเดือน Fed cut rate น่าจะพุ่ง
-1,น่าจะพุ่ง  นี่เลือดกำเดา พุ่งหรือเปล่าไม่รู้
1,แนะนำหน่อยครับ
1,seafco ap
0,CPR
0,kkp
0,PT
1,เย็น เย็น จับ ใจ
-1,หุ้นที่ผมไม่มี
0,tkn
1,rs ใครเก็บเมื่อวาน ยาว
0,CBG
0,TKS TEAMG
1,"ีที่แล้ว BTS ใครๆก็คิดว่า
หุ้นแพง upside น้อย  pe สูง
แต่ถือแค่ ปี ได้   UP"
1,BTS VGI นี่มาคู่กันเลย เกินเบอร์มาก
1,ซื้อ BTS ต้นปี  แถวๆ ไม่ได้มองอะไรเลยนอกจากเส้นทางที่จะเพิ่มขึ้นกับธุรกิจโฆษณาที่จะส่งเสริมกัน ราคานี้รับปันผล จะโตต่ออะไรยังไงก็ว่าไป แต่ราคานี้แค่ถือรับปันผลผมก็พอใจแล้ว
0,สมรู้ร่วมคิด
1,มี 1บาทแน่
1,คือติดอยู่ที่ รับ รวมค่าคอม  อีก เลยกะให้สัก 5 อะครับ ตอนแรกเห็นลงมาจาก เลยกะให้ขึนสักแต่วันนี้ไปอนเช้า ดีใจมาก พอเที่ยงไซส์เวย์ ลงเรื่อยๆ ตอนนี้เห็นจากข่าวคือลดค่าธรรมเนียม มีท่าทีจะขึ้นไหมครับหรือขาย แนะนำหน่อยครับ
1,อย่ากังวลใจไปเลยครับ บางจังหวะวิ่งถึง ได้
-1,เข้าเขต Oversold แล้ว สัปดาห์หน้ามีเด้งครับ
1,รอสักเดือนครับเดียวก็ขึ้นอย่ารีบขาย
1,"ขอบคุณมากครับ เมื่อกี้ไซส์เวย์ อยู่ดีๆ ไป0ิ ใจหายมาก
แก้ไขข้อความเมื่อ  กรกฎาคม เวลา  น"
-1,"กลุ่ม Bank มีปัญหา หนี้เสีย NPL　ภาคธุรกิจ อสังหา รถยนต์ บัตรเครดิต
ตามด้วย ลดดอกเบี้ย
อ่อนกว่า เพื่อน
ไปรอรับที่ อาจจะดีกว่านะครับ"
1,ขอบคุณครับ
